,0
0,3.652275002279947
1,2.838870738827905
2,2.6729029597238054
3,2.607433711373529
4,2.5607847432757533
5,2.5213625833045605
6,2.4845720446387003
7,2.449403567369594
8,2.415547961412474
9,2.379444963710253
10,2.346757158290508
11,2.3121811664381693
12,2.282132545182871
13,2.24561806750852
14,2.208380037962004
15,2.1735137728757636
16,2.1373068426930626
17,2.104305475257164
18,2.0696942494359125
19,2.036750696426214
20,2.007165580294853
21,1.9727129125317862
22,1.942190141178841
23,1.911905780781147
24,1.8827194654664328
25,1.8564954725808875
26,1.829456936481387
27,1.8004764048166053
28,1.7733888646890952
29,1.7510122421175935
30,1.7255416969920314
31,1.7062989646612212
32,1.6856653960638268
33,1.6682555030944735
34,1.6477503229019255
35,1.630898343269215
36,1.611437089221422
37,1.5942249339680339
38,1.5776427845622218
39,1.563288337962572
40,1.5498953517093215
41,1.5379258713056876
42,1.524925635304562
43,1.5119745357092036
44,1.5002092012139254
45,1.4915775025999822
46,1.477522850036621
47,1.4657999055330144
48,1.4608448473520057
49,1.4527435032434242
50,1.4406097974888115
51,1.4350850831630617
52,1.4265963178734447
53,1.4182188309902368
54,1.4146284835283147
55,1.4059869349002838
56,1.3973784911078075
57,1.3913724339285563
58,1.3878525758898534
59,1.3817387639090073
60,1.3728595777999524
61,1.3730048467946607
62,1.3668834331423738
63,1.3608129967090696
64,1.3584685755330463
65,1.3542468818121178
66,1.3510210098222244
67,1.3447522001211034
68,1.3412767066511997
69,1.3378687805907672
70,1.3362264362878578
71,1.3304048658803451
72,1.326955520829489
73,1.325094639561897
74,1.3255808984124384
75,1.3200661519239114
76,1.3196994752384896
77,1.3170558179533758
78,1.3133729557658351
79,1.30817153634027
80,1.3082073857617933
81,1.3058523057505143
82,1.3035485834576364
83,1.3017076059829358
84,1.3007515031237935
85,1.2981418877146964
86,1.2952632252560106
87,1.2927694459294163
88,1.292795154937478
89,1.2917597848315572
90,1.2887159842391347
91,1.2869401622650236
92,1.2900572980559148
93,1.2846078824165255
94,1.279808722956236
95,1.2805042814376741
96,1.282936608375505
97,1.278991656941037
98,1.2793645366679791
99,1.2820122740989508
100,1.2747578704079916
101,1.2738509053407714
102,1.2744173421416172
103,1.2746477986491003
104,1.2739612564098004
105,1.2723776427812354
106,1.270237234442733
107,1.2703771882278974
108,1.2704507805580316
109,1.270011036201965
110,1.2704924338085706
111,1.2661384454993314
112,1.2652171496735063
113,1.2670908182166343
114,1.2631486522596935
115,1.2628444488658461
116,1.2625595074753428
117,1.2587470703346784
118,1.2622747989588006
119,1.2620277328546656
120,1.2640308342700781
121,1.2602472769659618
122,1.2602077521557031
123,1.2580181429552477
124,1.2583744435809379
125,1.2581843726856763
126,1.2596005644909172
127,1.2586963613365971
128,1.257727518331173
129,1.255786534658698
130,1.2555822889472164
131,1.256825790848843
132,1.2565060964850492
133,1.250374847373297
134,1.2512208057004353
135,1.256850836581962
136,1.2509071937827176
137,1.2513731399247812
138,1.2508056565772656
139,1.250440779120423
140,1.2513756038144577
141,1.2530669119468956
142,1.2507693358632022
143,1.2498577354952347
144,1.248761147260666
145,1.2496886128603026
146,1.2490523360496344
147,1.2500547364700672
148,1.245573987794477
149,1.246975810028786
150,1.2451671763908032
151,1.2477049460244733
152,1.2493872587070909
153,1.2480606914952743
154,1.2424575506254685
155,1.2455938479235007
156,1.248802785263505
157,1.2461645249710527
158,1.247974845559098
159,1.245866708977278
160,1.2438624036866566
161,1.2460160040578176
162,1.2429036442623582
163,1.2462867179582284
164,1.241364739661993
165,1.244267468535623
166,1.2433184135791868
167,1.2460998040299083
168,1.245665674292764
169,1.2442834134711775
170,1.2429465339627377
171,1.2356985987618911
172,1.2477888395619947
173,1.241785058448481
174,1.2453189208063968
175,1.242547482252121
176,1.2429085152093755
177,1.2422640663246776
178,1.2425014445948046
179,1.2419571204240931
180,1.2411951582099117
181,1.2370435761850933
182,1.2395025879837747
183,1.242567541987397
184,1.2406346714773844
185,1.2389508063016936
186,1.2410301254239193
187,1.239260223022727
188,1.2421324689720952
189,1.2421809684398561
190,1.2378495973210002
191,1.2415969822295876
192,1.2388061444426692
193,1.2410466324451357
194,1.238786557386088
195,1.239415519459303
196,1.2407040013823398
197,1.2352042267488879
198,1.238008041714513
199,1.2400952251844628
